Game,NumOfWomen
tokyo 2020 Summer,0
rio 2016 Summer,5034
london 2012 Summer,4654
beijing 2008 Summer,4609
athens 2004 Summer,4300
sydney 2000 Summer,4068
atlanta 1996 Summer,3517
barcelona 1992 Summer,2723
seoul 1988 Summer,2203
los angeles 1984 Summer,1569
moscow 1980 Summer,1123
montreal 1976 Summer,1260
munich 1972 Summer,1060
mexico 1968 Summer,783
tokyo 1964 Summer,680
rome 1960 Summer,613
melbourne stockholm 1956 Summer,384
helsinki 1952 Summer,521
london 1948 Summer,446
berlin 1936 Summer,361
los angeles 1932 Summer,201
amsterdam 1928 Summer,312
paris 1924 Summer,156
antwerp 1920 Summer,78
stockholm 1912 Summer,53
london 1908 Summer,44
st louis 1904 Summer,6
paris 1900 Summer,23
athens 1896 Summer,0
pyeongchang 2018 Winter,0
sochi 2014 Winter,1102
vancouver 2010 Winter,1033
turin 2006 Winter,955
salt lake city 2002 Winter,886
nagano 1998 Winter,789
lillehammer 1994 Winter,522
albertville 1992 Winter,488
calgary 1988 Winter,315
sarajevo 1984 Winter,277
lake placid 1980 Winter,235
innsbruck 1976 Winter,231
sapporo 1972 Winter,206
grenoble 1968 Winter,211
innsbruck 1964 Winter,200
squaw valley 1960 Winter,144
cortina d ampezzo 1956 Winter,132
oslo 1952 Winter,109
st moritz 1948 Winter,77
garmisch partenkirchen 1936 Winter,80
lake placid 1932 Winter,21
st moritz 1928 Winter,28
chamonix 1924 Winter,13
