Name,Year,Season
tokyo,2020,S
rio,2016,S
london,2012,S
beijing,2008,S
athens,2004,S
sydney,2000,S
atlanta,1996,S
barcelona,1992,S
seoul,1988,S
los angeles,1984,S
moscow,1980,S
montreal,1976,S
munich,1972,S
mexico,1968,S
tokyo,1964,S
rome,1960,S
melbourne stockholm,1956,S
helsinki,1952,S
london,1948,S
berlin,1936,S
los angeles,1932,S
amsterdam,1928,S
paris,1924,S
antwerp,1920,S
stockholm,1912,S
london,1908,S
st louis,1904,S
paris,1900,S
athens,1896,S
pyeongchang,2018,W
sochi,2014,W
vancouver,2010,W
turin,2006,W
salt lake city,2002,W
nagano,1998,W
lillehammer,1994,W
albertville,1992,W
calgary,1988,W
sarajevo,1984,W
lake placid,1980,W
innsbruck,1976,W
sapporo,1972,W
grenoble,1968,W
innsbruck,1964,W
squaw valley,1960,W
cortina d ampezzo,1956,W
oslo,1952,W
st moritz,1948,W
garmisch partenkirchen,1936,W
lake placid,1932,W
st moritz,1928,W
chamonix,1924,W
