Country,Count
nan,2
Indonesia,14
Nigeria,18
Kenya,13
Denmark,91
Slovenia,6
Australia,495
South Korea,241
Italy,135
Sweden,91
Morocco,4
Finland,13
Sri Lanka,1
Czech Republic,99
New Zealand,31
Greece,39
Vietnam,1
Lithuania,8
Israel,1
ZZX,3
Cuba,100
Slovakia,7
Turkey,9
Bulgaria,118
Colombia,9
Jamaica,69
Belgium,20
Thailand,11
Bahrain,1
USA,1377
Kazakhstan,9
Croatia,6
Georgia,1
Malaysia,1
Zimbabwe,23
Algeria,3
Spain,110
Venezuela,2
Switzerland,27
Poland,100
Costa Rica,4
Mongolia,3
Uzbekistan,1
Syria,1
South Africa,22
Brazil,128
Hungary,245
Taiwan,14
China,539
Montenegro,14
Russia,1026
Egypt,1
Ukraine,89
IOP,2
Mexico,17
Netherlands,356
Cameroon,3
Romania,335
Japan,263
Ireland,6
Bahamas,13
Portugal,5
Mozambique,2
Singapore,7
Canada,221
Austria,21
Ethiopia,18
Norway,122
Latvia,1
Germany,928
Azerbaijan,6
Estonia,1
Belarus,62
Tunisia,1
UK,308
Chile,1
India,3
Serbia,65
Argentina,72
North Korea,28
Tajikistan,1
Iceland,1
Peru,12
France,142
