Game,NumOfWomen
tokyo 2020 Summer,0
rio 2016 Summer,34
london 2012 Summer,31
beijing 2008 Summer,30
athens 2004 Summer,20
sydney 2000 Summer,37
atlanta 1996 Summer,16
barcelona 1992 Summer,31
seoul 1988 Summer,7
los angeles 1984 Summer,31
moscow 1980 Summer,19
montreal 1976 Summer,6
munich 1972 Summer,14
mexico 1968 Summer,8
tokyo 1964 Summer,11
rome 1960 Summer,21
melbourne stockholm 1956 Summer,5
helsinki 1952 Summer,21
london 1948 Summer,32
berlin 1936 Summer,17
los angeles 1932 Summer,2
amsterdam 1928 Summer,6
paris 1924 Summer,3
antwerp 1920 Summer,0
stockholm 1912 Summer,6
london 1908 Summer,0
st louis 1904 Summer,0
paris 1900 Summer,0
athens 1896 Summer,0
pyeongchang 2018 Winter,0
sochi 2014 Winter,40
vancouver 2010 Winter,26
turin 2006 Winter,18
salt lake city 2002 Winter,19
nagano 1998 Winter,23
lillehammer 1994 Winter,15
albertville 1992 Winter,13
calgary 1988 Winter,15
sarajevo 1984 Winter,7
lake placid 1980 Winter,10
innsbruck 1976 Winter,14
sapporo 1972 Winter,11
grenoble 1968 Winter,13
innsbruck 1964 Winter,14
squaw valley 1960 Winter,9
cortina d ampezzo 1956 Winter,10
oslo 1952 Winter,8
st moritz 1948 Winter,12
garmisch partenkirchen 1936 Winter,10
lake placid 1932 Winter,1
st moritz 1928 Winter,5
chamonix 1924 Winter,2
