Game,NumOfWomen
tokyo 2020 Summer,0
rio 2016 Summer,207
london 2012 Summer,117
beijing 2008 Summer,129
athens 2004 Summer,119
sydney 2000 Summer,92
atlanta 1996 Summer,65
barcelona 1992 Summer,50
seoul 1988 Summer,33
los angeles 1984 Summer,21
moscow 1980 Summer,15
montreal 1976 Summer,7
munich 1972 Summer,3
mexico 1968 Summer,3
tokyo 1964 Summer,1
rome 1960 Summer,1
melbourne stockholm 1956 Summer,1
helsinki 1952 Summer,5
london 1948 Summer,11
berlin 1936 Summer,6
los angeles 1932 Summer,1
amsterdam 1928 Summer,0
paris 1924 Summer,0
antwerp 1920 Summer,0
stockholm 1912 Summer,0
london 1908 Summer,0
st louis 1904 Summer,0
paris 1900 Summer,0
athens 1896 Summer,0
pyeongchang 2018 Winter,0
sochi 2014 Winter,7
vancouver 2010 Winter,3
turin 2006 Winter,3
salt lake city 2002 Winter,2
nagano 1998 Winter,0
lillehammer 1994 Winter,0
albertville 1992 Winter,1
calgary 1988 Winter,0
sarajevo 1984 Winter,0
lake placid 1980 Winter,0
innsbruck 1976 Winter,0
sapporo 1972 Winter,0
grenoble 1968 Winter,0
innsbruck 1964 Winter,0
squaw valley 1960 Winter,0
cortina d ampezzo 1956 Winter,0
oslo 1952 Winter,0
st moritz 1948 Winter,0
garmisch partenkirchen 1936 Winter,0
lake placid 1932 Winter,0
st moritz 1928 Winter,0
chamonix 1924 Winter,0
