Game,NumOfWomen
tokyo 2020 Summer,0
rio 2016 Summer,263
london 2012 Summer,235
beijing 2008 Summer,306
athens 2004 Summer,265
sydney 2000 Summer,192
atlanta 1996 Summer,192
barcelona 1992 Summer,137
seoul 1988 Summer,134
los angeles 1984 Summer,94
moscow 1980 Summer,0
montreal 1976 Summer,2
munich 1972 Summer,0
mexico 1968 Summer,0
tokyo 1964 Summer,1
rome 1960 Summer,0
melbourne stockholm 1956 Summer,0
helsinki 1952 Summer,2
london 1948 Summer,1
berlin 1936 Summer,2
los angeles 1932 Summer,0
amsterdam 1928 Summer,0
paris 1924 Summer,0
antwerp 1920 Summer,0
stockholm 1912 Summer,0
london 1908 Summer,0
st louis 1904 Summer,0
paris 1900 Summer,0
athens 1896 Summer,0
pyeongchang 2018 Winter,0
sochi 2014 Winter,36
vancouver 2010 Winter,57
turin 2006 Winter,39
salt lake city 2002 Winter,47
nagano 1998 Winter,42
lillehammer 1994 Winter,17
albertville 1992 Winter,20
calgary 1988 Winter,7
sarajevo 1984 Winter,16
lake placid 1980 Winter,11
innsbruck 1976 Winter,0
sapporo 1972 Winter,0
grenoble 1968 Winter,0
innsbruck 1964 Winter,0
squaw valley 1960 Winter,0
cortina d ampezzo 1956 Winter,0
oslo 1952 Winter,0
st moritz 1948 Winter,0
garmisch partenkirchen 1936 Winter,0
lake placid 1932 Winter,0
st moritz 1928 Winter,0
chamonix 1924 Winter,0
