Game,NumOfWomen
tokyo 2020 Summer,0
rio 2016 Summer,164
london 2012 Summer,155
beijing 2008 Summer,165
athens 2004 Summer,167
sydney 2000 Summer,110
atlanta 1996 Summer,149
barcelona 1992 Summer,81
seoul 1988 Summer,69
los angeles 1984 Summer,52
moscow 1980 Summer,0
montreal 1976 Summer,60
munich 1972 Summer,36
mexico 1968 Summer,25
tokyo 1964 Summer,58
rome 1960 Summer,20
melbourne stockholm 1956 Summer,16
helsinki 1952 Summer,11
london 1948 Summer,0
berlin 1936 Summer,19
los angeles 1932 Summer,18
amsterdam 1928 Summer,1
paris 1924 Summer,0
antwerp 1920 Summer,0
stockholm 1912 Summer,0
london 1908 Summer,0
st louis 1904 Summer,0
paris 1900 Summer,0
athens 1896 Summer,0
pyeongchang 2018 Winter,0
sochi 2014 Winter,61
vancouver 2010 Winter,43
turin 2006 Winter,52
salt lake city 2002 Winter,44
nagano 1998 Winter,64
lillehammer 1994 Winter,16
albertville 1992 Winter,20
calgary 1988 Winter,11
sarajevo 1984 Winter,7
lake placid 1980 Winter,4
innsbruck 1976 Winter,8
sapporo 1972 Winter,20
grenoble 1968 Winter,9
innsbruck 1964 Winter,6
squaw valley 1960 Winter,5
cortina d ampezzo 1956 Winter,0
oslo 1952 Winter,0
st moritz 1948 Winter,0
garmisch partenkirchen 1936 Winter,1
lake placid 1932 Winter,0
st moritz 1928 Winter,0
chamonix 1924 Winter,0
