Game,NumOfWomen
tokyo 2020 Summer,0
rio 2016 Summer,33
london 2012 Summer,28
beijing 2008 Summer,54
athens 2004 Summer,17
sydney 2000 Summer,49
atlanta 1996 Summer,55
barcelona 1992 Summer,32
seoul 1988 Summer,25
los angeles 1984 Summer,19
moscow 1980 Summer,0
montreal 1976 Summer,6
munich 1972 Summer,11
mexico 1968 Summer,8
tokyo 1964 Summer,2
rome 1960 Summer,1
melbourne stockholm 1956 Summer,3
helsinki 1952 Summer,6
london 1948 Summer,4
berlin 1936 Summer,2
los angeles 1932 Summer,1
amsterdam 1928 Summer,0
paris 1924 Summer,2
antwerp 1920 Summer,6
stockholm 1912 Summer,2
london 1908 Summer,0
st louis 1904 Summer,0
paris 1900 Summer,0
athens 1896 Summer,0
pyeongchang 2018 Winter,0
sochi 2014 Winter,32
vancouver 2010 Winter,25
turin 2006 Winter,21
salt lake city 2002 Winter,27
nagano 1998 Winter,27
lillehammer 1994 Winter,21
albertville 1992 Winter,19
calgary 1988 Winter,10
sarajevo 1984 Winter,8
lake placid 1980 Winter,9
innsbruck 1976 Winter,7
sapporo 1972 Winter,11
grenoble 1968 Winter,11
innsbruck 1964 Winter,7
squaw valley 1960 Winter,4
cortina d ampezzo 1956 Winter,8
oslo 1952 Winter,12
st moritz 1948 Winter,4
garmisch partenkirchen 1936 Winter,6
lake placid 1932 Winter,1
st moritz 1928 Winter,3
chamonix 1924 Winter,1
