Game,NumOfWomen
tokyo 2020 Summer,0
rio 2016 Summer,291
london 2012 Summer,268
beijing 2008 Summer,282
athens 2004 Summer,254
sydney 2000 Summer,253
atlanta 1996 Summer,273
barcelona 1992 Summer,190
seoul 1988 Summer,195
los angeles 1984 Summer,183
moscow 1980 Summer,0
montreal 1976 Summer,118
munich 1972 Summer,84
mexico 1968 Summer,83
tokyo 1964 Summer,79
rome 1960 Summer,51
melbourne stockholm 1956 Summer,47
helsinki 1952 Summer,41
london 1948 Summer,38
berlin 1936 Summer,46
los angeles 1932 Summer,74
amsterdam 1928 Summer,44
paris 1924 Summer,24
antwerp 1920 Summer,14
stockholm 1912 Summer,0
london 1908 Summer,0
st louis 1904 Summer,6
paris 1900 Summer,7
athens 1896 Summer,0
pyeongchang 2018 Winter,0
sochi 2014 Winter,100
vancouver 2010 Winter,92
turin 2006 Winter,87
salt lake city 2002 Winter,87
nagano 1998 Winter,81
lillehammer 1994 Winter,52
albertville 1992 Winter,50
calgary 1988 Winter,31
sarajevo 1984 Winter,30
lake placid 1980 Winter,25
innsbruck 1976 Winter,30
sapporo 1972 Winter,26
grenoble 1968 Winter,21
innsbruck 1964 Winter,19
squaw valley 1960 Winter,18
cortina d ampezzo 1956 Winter,10
oslo 1952 Winter,10
st moritz 1948 Winter,10
garmisch partenkirchen 1936 Winter,9
lake placid 1932 Winter,6
st moritz 1928 Winter,3
chamonix 1924 Winter,2
