Year,Country,Count
1900,nan,0
1900,Indonesia,0
1900,Nigeria,0
1900,Kenya,0
1900,Denmark,0
1900,Slovenia,0
1900,Australia,0
1900,South Korea,0
1900,Italy,0
1900,Sweden,0
1900,Morocco,0
1900,Finland,0
1900,Sri Lanka,0
1900,Czech Republic,1
1900,New Zealand,0
1900,Greece,0
1900,Vietnam,0
1900,Lithuania,0
1900,Israel,0
1900,ZZX,3
1900,Cuba,0
1900,Slovakia,0
1900,Turkey,0
1900,Bulgaria,0
1900,Colombia,0
1900,Jamaica,0
1900,Belgium,0
1900,Thailand,0
1900,Bahrain,0
1900,USA,4
1900,Kazakhstan,0
1900,Croatia,0
1900,Georgia,0
1900,Malaysia,0
1900,Zimbabwe,0
1900,Algeria,0
1900,Spain,0
1900,Venezuela,0
1900,Switzerland,0
1900,Poland,0
1900,Costa Rica,0
1900,Mongolia,0
1900,Uzbekistan,0
1900,Syria,0
1900,South Africa,0
1900,Brazil,0
1900,Hungary,0
1900,Taiwan,0
1900,China,0
1900,Montenegro,0
1900,Russia,0
1900,Egypt,0
1900,Ukraine,0
1900,IOP,0
1900,Mexico,0
1900,Netherlands,0
1900,Cameroon,0
1900,Romania,0
1900,Japan,0
1900,Ireland,0
1900,Bahamas,0
1900,Portugal,0
1900,Mozambique,0
1900,Singapore,0
1900,Canada,0
1900,Austria,0
1900,Ethiopia,0
1900,Norway,0
1900,Latvia,0
1900,Germany,0
1900,Azerbaijan,0
1900,Estonia,0
1900,Belarus,0
1900,Tunisia,0
1900,UK,2
1900,Chile,0
1900,India,0
1900,Serbia,0
1900,Argentina,0
1900,North Korea,0
1900,Tajikistan,0
1900,Iceland,0
1900,Peru,0
1900,France,1
1904,nan,0
1904,Indonesia,0
1904,Nigeria,0
1904,Kenya,0
1904,Denmark,0
1904,Slovenia,0
1904,Australia,0
1904,South Korea,0
1904,Italy,0
1904,Sweden,0
1904,Morocco,0
1904,Finland,0
1904,Sri Lanka,0
1904,Czech Republic,0
1904,New Zealand,0
1904,Greece,0
1904,Vietnam,0
1904,Lithuania,0
1904,Israel,0
1904,ZZX,0
1904,Cuba,0
1904,Slovakia,0
1904,Turkey,0
1904,Bulgaria,0
1904,Colombia,0
1904,Jamaica,0
1904,Belgium,0
1904,Thailand,0
1904,Bahrain,0
1904,USA,12
1904,Kazakhstan,0
1904,Croatia,0
1904,Georgia,0
1904,Malaysia,0
1904,Zimbabwe,0
1904,Algeria,0
1904,Spain,0
1904,Venezuela,0
1904,Switzerland,0
1904,Poland,0
1904,Costa Rica,0
1904,Mongolia,0
1904,Uzbekistan,0
1904,Syria,0
1904,South Africa,0
1904,Brazil,0
1904,Hungary,0
1904,Taiwan,0
1904,China,0
1904,Montenegro,0
1904,Russia,0
1904,Egypt,0
1904,Ukraine,0
1904,IOP,0
1904,Mexico,0
1904,Netherlands,0
1904,Cameroon,0
1904,Romania,0
1904,Japan,0
1904,Ireland,0
1904,Bahamas,0
1904,Portugal,0
1904,Mozambique,0
1904,Singapore,0
1904,Canada,0
1904,Austria,0
1904,Ethiopia,0
