Year,City,Sport,Discipline,Athlete,Location,Gender,Event,Medal
1900,Paris,Golf,Golf, Daria pratt,USA,Women,Individual,Bronze
1900,Paris,Golf,Golf, Margaret Ives abbott,USA,Women,Individual,Gold
1900,Paris,Golf,Golf, Pauline whittier,USA,Women,Individual,Silver
1900,Paris,Tennis,Tennis, Marion jones,ZZX,Women,Mixed Doubles,Bronze
1900,Paris,Tennis,Tennis, Hedwig rosenbaum,ZZX,Women,Mixed Doubles,Bronze
1900,Paris,Tennis,Tennis, Charlotte cooper,UK,Women,Mixed Doubles,Gold
1900,Paris,Tennis,Tennis, Hélène prevost,ZZX,Women,Mixed Doubles,Silver
1900,Paris,Tennis,Tennis, Marion jones,USA,Women,Singles,Bronze
1900,Paris,Tennis,Tennis, Hedwig rosenbaum,Czech Republic,Women,Singles,Bronze
1900,Paris,Tennis,Tennis, Charlotte cooper,UK,Women,Singles,Gold
1900,Paris,Tennis,Tennis, Hélène prevost,France,Women,Singles,Silver
1904,St Louis,Archery,Archery, Jessie pollock,USA,Women,Double Columbia Round (50Y - 40Y - 30Y),Bronze
1904,St Louis,Archery,Archery, Matilda Scott howell,USA,Women,Double Columbia Round (50Y - 40Y - 30Y),Gold
1904,St Louis,Archery,Archery, Emma C. cooke,USA,Women,Double Columbia Round (50Y - 40Y - 30Y),Silver
1904,St Louis,Archery,Archery, Jessie pollock,USA,Women,Double National Round (60Y - 50Y),Bronze
1904,St Louis,Archery,Archery, Matilda Scott howell,USA,Women,Double National Round (60Y - 50Y),Gold
1904,St Louis,Archery,Archery, Emma C. cooke,USA,Women,Double National Round (60Y - 50Y),Silver
1904,St Louis,Archery,Archery, Matilda Scott howell,USA,Women,Teams Fita Round,Gold
1904,St Louis,Archery,Archery, Jessie pollock,USA,Women,Teams Fita Round,Gold
1904,St Louis,Archery,Archery, Louise taylor,USA,Women,Teams Fita Round,Gold
1904,St Louis,Archery,Archery, Laura woodruff,USA,Women,Teams Fita Round,Gold
1904,St Louis,Archery,Archery, Emma C. cooke,USA,Women,Teams Fita Round,Silver
1904,St Louis,Archery,Archery, Mabel taylor,USA,Women,Teams Fita Round,Silver
1908,London,Archery,Archery, Beatrice Geraldine hill-lowe,UK,Women,National Round (60Y - 50Y),Bronze
1908,London,Archery,Archery, Sybil Fenton Quenni newall,UK,Women,National Round (60Y - 50Y),Gold
1908,London,Archery,Archery, Charlotte dod,UK,Women,National Round (60Y - 50Y),Silver
1908,London,Skating,Figure skating, Dorothy greenhough-smith,Germany,Women,Individual,Bronze
1908,London,Skating,Figure skating, Florence syers,UK,Women,Individual,Gold
1908,London,Skating,Figure skating, Else rendschmidt,Germany,Women,Individual,Silver
1908,London,Skating,Figure skating, Florence syers,UK,Women,Pairs,Bronze
1908,London,Skating,Figure skating, Anna hübler,Germany,Women,Pairs,Gold
1908,London,Skating,Figure skating, Phyllis johnson,UK,Women,Pairs,Silver
1908,London,Tennis,Tennis, Ruth Joan winch,UK,Women,Singles,Bronze
1908,London,Tennis,Tennis, Dorothy Katherine chambers,UK,Women,Singles,Gold
1908,London,Tennis,Tennis, Penelope Dora Harvey boothby,UK,Women,Singles,Silver
