Year,City,Sport,Discipline,Athlete,Location,Gender,Event,Medal
1924,Chamonix,Skating,Figure skating, Ethel muckelt,UK,Women,Individual,Bronze
1924,Chamonix,Skating,Figure skating, Herma szabo-plank,Austria,Women,Individual,Gold
1924,Chamonix,Skating,Figure skating, Beatrix loughran,USA,Women,Individual,Silver
1924,Chamonix,Skating,Figure skating, Andrée brunet,France,Women,Pairs,Bronze
1924,Chamonix,Skating,Figure skating, Helene engelmann,Austria,Women,Pairs,Gold
1924,Chamonix,Skating,Figure skating, Ludowika jakobsson,Finland,Women,Pairs,Silver
1928,St.Moritz,Skating,Figure skating, Beatrix loughran,USA,Women,Individual,Bronze
1928,St.Moritz,Skating,Figure skating, Sonja henie,Norway,Women,Individual,Gold
1928,St.Moritz,Skating,Figure skating, Fritzi burger,Austria,Women,Individual,Silver
1928,St.Moritz,Skating,Figure skating, Melitta brunner,Austria,Women,Pairs,Bronze
1928,St.Moritz,Skating,Figure skating, Andrée brunet,France,Women,Pairs,Gold
1928,St.Moritz,Skating,Figure skating, Lilly scholz,Austria,Women,Pairs,Silver
1932,Lake Placid,Skating,Figure skating, Maribel vinson,USA,Women,Individual,Bronze
1932,Lake Placid,Skating,Figure skating, Sonja henie,Norway,Women,Individual,Gold
1932,Lake Placid,Skating,Figure skating, Fritzi burger,Austria,Women,Individual,Silver
1932,Lake Placid,Skating,Figure skating, Emilia rotter,Hungary,Women,Pairs,Bronze
1932,Lake Placid,Skating,Figure skating, Andrée brunet,France,Women,Pairs,Gold
1932,Lake Placid,Skating,Figure skating, Beatrix loughran,USA,Women,Pairs,Silver
1936,Garmisch Partenkirchen,Skating,Figure skating, Vivi-Anne hulten,Sweden,Women,Individual,Bronze
1936,Garmisch Partenkirchen,Skating,Figure skating, Sonja henie,Norway,Women,Individual,Gold
1936,Garmisch Partenkirchen,Skating,Figure skating, Cecilia colledge,UK,Women,Individual,Silver
1936,Garmisch Partenkirchen,Skating,Figure skating, Emilia rotter,Hungary,Women,Pairs,Bronze
1936,Garmisch Partenkirchen,Skating,Figure skating, Maxi herber,Germany,Women,Pairs,Gold
1936,Garmisch Partenkirchen,Skating,Figure skating, Ilse pausin,Austria,Women,Pairs,Silver
1936,Garmisch Partenkirchen,Skiing,Alpine Skiing, Laila schou-nilsen,Norway,Women,Alpine Combined,Bronze
1936,Garmisch Partenkirchen,Skiing,Alpine Skiing, Christel cranz,Germany,Women,Alpine Combined,Gold
1936,Garmisch Partenkirchen,Skiing,Alpine Skiing, Käthe grasegger,Germany,Women,Alpine Combined,Silver
1948,St.Moritz,Skating,Figure skating, Jeannette altwegg,UK,Women,Individual,Bronze
1948,St.Moritz,Skating,Figure skating, Barbara Ann scott,Canada,Women,Individual,Gold
1948,St.Moritz,Skating,Figure skating, Eva pawlik,Austria,Women,Individual,Silver
1948,St.Moritz,Skating,Figure skating, Suzanne morrow,Canada,Women,Pairs,Bronze
1948,St.Moritz,Skating,Figure skating, Micheline lannoy,Belgium,Women,Pairs,Gold
1948,St.Moritz,Skating,Figure skating, Andrea kekessy,Hungary,Women,Pairs,Silver
1948,St.Moritz,Skiing,Alpine Skiing, Erika mahringer,Austria,Women,Alpine Combined,Bronze
1948,St.Moritz,Skiing,Alpine Skiing, Trude beiser-jochum,Austria,Women,Alpine Combined,Gold
1948,St.Moritz,Skiing,Alpine Skiing, Gretchen fraser,USA,Women,Alpine Combined,Silver
1948,St.Moritz,Skiing,Alpine Skiing, Resi hammerer,Austria,Women,Downhill,Bronze
1948,St.Moritz,Skiing,Alpine Skiing, Hedy schlunegger,Switzerland,Women,Downhill,Gold
1948,St.Moritz,Skiing,Alpine Skiing, Trude beiser-jochum,Austria,Women,Downhill,Silver
1948,St.Moritz,Skiing,Alpine Skiing, Erika mahringer,Austria,Women,Slalom,Bronze
1948,St.Moritz,Skiing,Alpine Skiing, Gretchen fraser,USA,Women,Slalom,Gold
1948,St.Moritz,Skiing,Alpine Skiing, Antoinette meyer,Switzerland,Women,Slalom,Silver
1952,Oslo,Skating,Figure skating, Jacqueline du bief,France,Women,Individual,Bronze
1952,Oslo,Skating,Figure skating, Jeannette altwegg,UK,Women,Individual,Gold
1952,Oslo,Skating,Figure skating, Tenley albright,USA,Women,Individual,Silver
1952,Oslo,Skating,Figure skating, Marianna nagy,Hungary,Women,Pairs,Bronze
1952,Oslo,Skating,Figure skating, Ria falk,Germany,Women,Pairs,Gold
1952,Oslo,Skating,Figure skating, Karol kennedy,USA,Women,Pairs,Silver
1952,Oslo,Skiing,Alpine Skiing, Giuliana minuzzo chenal,Italy,Women,Downhill,Bronze
1952,Oslo,Skiing,Alpine Skiing, Trude beiser-jochum,Austria,Women,Downhill,Gold
1952,Oslo,Skiing,Alpine Skiing, Mirl buchner,Germany,Women,Downhill,Silver
1952,Oslo,Skiing,Alpine Skiing, Mirl buchner,Germany,Women,Giant Slalom,Bronze
1952,Oslo,Skiing,Alpine Skiing, Andrea mead lawrence,USA,Women,Giant Slalom,Gold
1952,Oslo,Skiing,Alpine Skiing, Dagmar rom,Austria,Women,Giant Slalom,Silver
1952,Oslo,Skiing,Alpine Skiing, Mirl buchner,Germany,Women,Slalom,Bronze
1952,Oslo,Skiing,Alpine Skiing, Andrea mead lawrence,USA,Women,Slalom,Gold
1952,Oslo,Skiing,Alpine Skiing, Ossi reichert,Germany,Women,Slalom,Silver
1952,Oslo,Skiing,Cross Country Skiing, Siiri rantanen,Finland,Women,10KM,Bronze
1952,Oslo,Skiing,Cross Country Skiing, Lydia wideman,Finland,Women,10KM,Gold
1952,Oslo,Skiing,Cross Country Skiing, Mirja hietamies,Finland,Women,10KM,Silver
